agent,agent_config,model,run_id,label,accuracy,correct,near_miss,total,cost_usd,turns,duration_seconds,slow_tool_seconds,timed_out_tool_calls,sigkilled_tool_calls
claude,f208cf7ddd22,opus,20260918T202934Z-ec37401-8fc08816,spec-consolidation,0.9032258064516129,28,0,31,4.350701,117,1220.1,30.0,0,0
claude,f208cf7ddd22,opus,20260918T204958Z-ec37401-4dc320d5,spec-consolidation,0.9032258064516129,28,1,31,4.240593,100,1274.9,60.0,0,0
claude,f208cf7ddd22,opus,20260918T211116Z-ec37401-9778f12c,spec-consolidation,0.9032258064516129,28,2,31,4.421272,116,1116.2,0.0,0,0
claude,f208cf7ddd22,opus,20260918T212957Z-ec37401-c0822ded,spec-consolidation,0.967741935483871,30,0,31,4.128692,129,1100.5,120.0,0,0
claude,f208cf7ddd22,opus,20260918T214822Z-ff0a0ce-fc53d914,spec-consolidation,0.9032258064516129,28,2,31,4.422934,132,1158.1,30.0,0,0
claude,f208cf7ddd22,opus,20260918T220744Z-ff0a0ce-2adf43db,spec-consolidation,0.9354838709677419,29,1,31,4.412633,125,1134.3,30.0,0,0
claude,f208cf7ddd22,opus,20260918T222642Z-ff0a0ce-2e3d6503,spec-consolidation,0.8709677419354839,27,1,31,5.358521,134,1374.1,0.0,0,0
claude,f208cf7ddd22,opus,20260918T224939Z-ff0a0ce-defdf872,spec-consolidation,0.9032258064516129,28,0,31,4.323415,125,1138.2,0.0,0,0
claude,f208cf7ddd22,opus,20260919T062502Z-2ec5e8c-c0462ac5,questions-only,0.12903225806451613,4,0,31,2.755246,67,565.8,0.0,0,0
claude,f208cf7ddd22,opus,20260919T063431Z-2ec5e8c-82fa5842,questions-only,0.3548387096774194,11,5,31,5.380379,141,1616.9,0.0,0,0
claude,f208cf7ddd22,opus,20260919T070131Z-2ec5e8c-76b5b258,questions-only,0.41935483870967744,13,4,31,5.057056,131,1196.3,0.0,0,0
claude,f208cf7ddd22,opus,20260919T072458Z-2ec5e8c-74e6c1b4,questions-only,0.3548387096774194,11,6,31,4.657916,113,1150.3,0.0,0,0
claude,f208cf7ddd22,opus,20260919T074411Z-2ec5e8c-6fb83e92,questions-only,0.25806451612903225,8,1,31,2.617981,71,770.2,0.0,0,0
claude,f208cf7ddd22,opus,20260919T075707Z-2ec5e8c-bfd5f862,questions-only,0.2903225806451613,9,0,31,3.261161,78,822.4,0.0,0,0
claude,f208cf7ddd22,opus,20260919T081053Z-2ec5e8c-0a35bf7d,questions-only,0.12903225806451613,4,0,31,2.436537,64,468.4,0.0,0,0
claude,f208cf7ddd22,opus,20260919T081844Z-2ec5e8c-773fe7fe,questions-only,0.12903225806451613,4,0,31,1.224186,46,248.8,0.0,0,0
claude,f208cf7ddd22,opus,20260919T082256Z-2ec5e8c-623f05d8,questions-only,0.3548387096774194,11,5,31,3.922702,123,1046.2,0.0,0,0
claude,f208cf7ddd22,opus,20260919T084026Z-2ec5e8c-4da909fb,questions-only,0.41935483870967744,13,4,31,4.153284,121,1000.5,30.0,0,0
claude,0051d6b4473c,sonnet,20260918T232239Z-2ec5e8c-d79c4a79,spec-consolidation,0.9032258064516129,28,0,31,7.734858,300,1279.0,60.0,0,0
claude,0051d6b4473c,sonnet,20260918T234402Z-2ec5e8c-bd06dd64,spec-consolidation,0.967741935483871,30,0,31,4.595316,191,1010.9,60.0,0,0
claude,0051d6b4473c,sonnet,20260919T000056Z-2ec5e8c-f764a59b,spec-consolidation,0.9354838709677419,29,0,31,7.41813,228,1206.3,30.0,0,0
claude,0051d6b4473c,sonnet,20260919T002106Z-2ec5e8c-4e58965d,spec-consolidation,0.967741935483871,30,0,31,4.772673,198,960.2,0.0,0,0
claude,0051d6b4473c,sonnet,20260919T003710Z-2ec5e8c-b6960a5f,spec-consolidation,0.9032258064516129,28,0,31,6.220028,237,1183.1,0.0,0,0
claude,0051d6b4473c,sonnet,20260919T005658Z-2ec5e8c-7405f22d,spec-consolidation,0.9032258064516129,28,1,31,5.114604,212,1606.5,180.0,0,0
claude,0051d6b4473c,sonnet,20260919T012348Z-2ec5e8c-91046a81,spec-consolidation,0.967741935483871,30,0,31,5.391822,237,1138.2,60.0,0,0
claude,0051d6b4473c,sonnet,20260919T014250Z-2ec5e8c-934e4a96,spec-consolidation,0.9032258064516129,28,1,31,6.316123,253,1096.3,0.0,0,0
claude,0051d6b4473c,sonnet,20260919T020111Z-2ec5e8c-5e882515,spec-consolidation,0.9354838709677419,29,0,31,5.387967,232,868.1,30.0,0,0
claude,0051d6b4473c,sonnet,20260919T021543Z-2ec5e8c-64141e7c,spec-consolidation,0.8709677419354839,27,3,31,5.963396,210,1172.9,30.0,0,0
