cod_imovel,entity_id,evidence
GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,5212204,1.0
GO-5212204-16833B91FD32494C864B458F765C0755,5212204,1.0
GO-5212204-4C368AF214CE46F5BD8982CDA10FD865,5212204,1.0
GO-5212204-294B806F6169468E98BB3456EC5158A4,5212204,1.0
GO-5212204-C020E51A64DE4DFAA0647BE31783FF65,5212204,1.0
GO-5212204-FFA9CF9AB45940F9BFA6ABCCF2A34EC0,5212204,1.0
GO-5212204-CA4C71E570B14DB591B595D9489A2B89,5212204,1.0
GO-5212204-24550295C0BD4B61B04260CF073F0784,5212204,1.0
GO-5212204-ED546975E9DA42B19C6ED84E8C72955E,5212204,1.0
GO-5212204-66A905C03E3F44BA90A906FAEE4ECE22,5212204,1.0
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,5212204,1.0
GO-5212204-88C69561AE0B4505AB651AE37A00D04E,5212204,1.0
GO-5212204-2AD669448DED4EF59B8729DE50E7DEE2,5212204,1.0
GO-5219258-021D6EEAC0FE4976868FEBAAD4C9056C,5219258,1.0
GO-5207600-E22FF9A4A75344D3994CB002B90B6686,5207600,1.0
GO-5212204-57B761BC972B4CF1ACB6FB3191344583,5212204,1.0
GO-5212204-8A0CEB45254E411682E58F7496344623,5212204,1.0
GO-5212204-BC6E2EE9073D4CE6BCB517FA6E9EBF87,5212204,1.0
GO-5212204-666FDE631E27448F908117041A14AAF7,5212204,1.0
GO-5212204-A06B364DA3AC4E1393188DD955072A7A,5212204,1.0
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,5212204,1.0
GO-5212204-58CF696D8D4E433088EF08BC9873490F,5212204,1.0
GO-5212204-D06FA1D1899847B1932E9F802BD14498,5212204,1.0
GO-5212204-9590B08FA4974D2786D41A9EB95C0A8E,5212204,1.0
GO-5212204-9984B6C557E04873B22A6C2C429981AB,5212204,1.0
GO-5212204-1388D04145DA42C49E1692A41D96CDB5,5212204,1.0
GO-5212204-44A20600D515455FBC21DE3D450D828B,5212204,1.0
GO-5212204-3AF33D4A071C45C88BD8B31829ACFD81,5212204,1.0
GO-5212204-AE6A2EC35795457CBEB9C3256A5B2FB3,5212204,1.0
GO-5219258-803E3D97C5A8498CBB0C2DFE0F2EB8E7,5219258,1.0
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,5219258,1.0
GO-5212204-722863690680490CA4C132CD628B76D4,5212204,1.0
GO-5212204-20FBD72E32A74011BE0C063F4C507E80,5212204,1.0
GO-5212204-D7C048E5C31F4DA5A37066D256069D00,5212204,1.0
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,5212204,1.0
GO-5212204-FD40D8C25F054CC0AC3449EBFAE863CB,5212204,1.0
GO-5212204-2C904799081B439BB5AC023234C7073F,5212204,1.0
GO-5212204-E60476C645D74B1FABA244292F6A832C,5212204,1.0
GO-5212204-81F365C789534A84A8F8A35060DBF942,5212204,1.0
GO-5212204-1E2963990BB04DAF9B1A8E86549F116C,5212204,1.0
GO-5212204-5A626DA1611C4A4885618BD646CF0010,5212204,1.0
GO-5212204-D99E7FB413AF499E8845CAA36FC4353B,5212204,1.0
GO-5212204-B348A1C10B4943428EC43952E5FE1A9B,5212204,1.0
GO-5212204-5D9A52F2411D4BE8BE74CA5E1CEE15BF,5212204,1.0
GO-5212204-A614927086AE489E901B1E2C9D35A6CB,5212204,1.0
GO-5212204-FE9378475EAB41548AD312054603D2A9,5212204,1.0
GO-5212204-52E2FECF2A7042F2B0DC6B27138AADE6,5212204,1.0
GO-5212204-ACA083B749944315972FE0795ACD12C3,5212204,1.0
GO-5212204-C314E7EC753C403AB9968098ED2C6FCD,5212204,1.0
GO-5212204-162DBAFE85134130B3480CF2ED130BFA,5212204,1.0
GO-5212204-230E3EB4EA894130A1CF632779C35DF4,5212204,1.0
GO-5212204-118F8241E57F4C21AF20F2486C2316F9,5212204,1.0
GO-5212204-DD210C6E045D48DCBBE38A2FAEEE5520,5212204,1.0
GO-5212204-C36EFCBB660143D29A145ACEC1F9977C,5212204,1.0
GO-5212204-2CC9462D520645069EBCBC7EA3D33548,5212204,1.0
GO-5212204-882C7F7A66AD4033AF778B7A4518A2B0,5212204,1.0
GO-5212204-8AE07816A270436D856E6EC821DE0A7B,5212204,1.0
GO-5212204-709F48C8AFB1410A98BFB6AA16774C78,5212204,1.0
GO-5212204-F3A12BE84DF7404989ED34657671EADE,5212204,1.0
GO-5212204-A4424F07EA5349C688955C67B8E5D443,5212204,1.0
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,5212204,1.0
GO-5219258-6D5094743E1043679D24C466E4814A0D,5219258,1.0
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,5212204,1.0
GO-5212204-CEAFB76B8EA14062854C222248878EC8,5212204,1.0
GO-5212204-BE591775498E412EB7E493B69772012F,5212204,1.0
GO-5212204-FFF0D6BB370744B6ADC11130F3424BAA,5212204,1.0
GO-5212204-C1B09E9FD9214A2EA281C3801C9E1953,5212204,1.0
GO-5212204-24978B3823B34D09AA76633A5DD8CFE2,5212204,1.0
GO-5212204-DA0E3C866893466CA994D0B0178498F2,5212204,1.0
GO-5212204-ADCB9B746C3B4DDF994A56429CECA7DB,5212204,1.0
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,5212204,1.0
GO-5212204-CA6A8154990C4D92B41EE734F4B8FEEB,5212204,1.0
GO-5212204-8FCA16FDCA014D4CBDA3F9FCB4E9CC9B,5212204,1.0
GO-5212204-89767A2A870E408092A410DDBAFF342D,5212204,1.0
GO-5212204-F9D8CEEE683C4CF0AA64F517381CE6A0,5212204,1.0
GO-5212204-304A3F0280604EAC866922F896EC2AF5,5212204,1.0
GO-5212204-CFFEFFF2769A4055A61320097E500EB8,5212204,1.0
GO-5212204-7E2ADE1A2C994C1FBE01A9E4115E49A1,5212204,1.0
GO-5212204-CE5E071E653F445E8EA2609440D42C75,5212204,1.0
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,5212204,1.0
GO-5212204-980A3D0E49E84210B886D033F92512C9,5212204,1.0
GO-5212204-72B57BA00A4A45EBA58D040A74E67562,5212204,1.0
GO-5212204-7E8D8FBAA53747BCBB20329B57032F98,5212204,1.0
GO-5212204-6A4B85E2354A4B81ADED3D20E1226C9B,5212204,1.0
